nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19116209,756102,América
México,126014024,1964375,América
Estados Unidos,331893745,9833517,América
Alemania,83149300,357022,Europa
Francia,67413000,551695,Europa
España,47351567,505990,Europa
Japón,125800000,377975,Asia
China,1411778724,9596961,Asia
India,1380004385,3287263,Asia
Australia,25687041,7692024,Oceanía
Sudáfrica,59308690,1219090,África
Nigeria,206139589,923768,África
Egipto,102334404,1002450,África
